,Job title,Company name,Location,Job type,Exp level,Exp years,Skills
0,Financial Analysis,Care Services EG -,"Abbassia, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Financial Analysis,CMA,Finance,Analysis,Planning"
1,Vulnerability Analysis & Mapping Officer (Economic/Policy Analyst),World Food Program - Other locations -,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"Project/Program Management,Engineering - Telecom/Technology,information technology (it),computer science,microsoft office,networks,security,english,analysis"
2,Financial Analysis & Planning Manager,Kinetik People -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,Analyst/Research,Financial Analysis,Finance,Accounting,Financial Management,Microsoft Office,Commerce,Microsoft Excel"
3,Financial Planning & Analysis Lead,Novartis ÖSterreich -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,Analyst/Research,Finance,Accounting,Financial Analysis,Planning,Financial Management,Financial Planning,Management"
4,Analysis and Reporting Manager,Antal International - Egypt -,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Operations/Management,Analyst/Research,Finance,Accounting,Financial Analysis,Financial Management,Reporting,Microsoft Office,Financial Reporting"
5,"Senior Analyst,Financial Planning and Analysis","S. C. Johnson & Son, Inc. -","Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,"Business Development,Analyst/Research,Finance,Accounting,Financial Analysis,Commerce,Financial Management,Analysis,Financial Planning"
6,Financial Planning And Analysis Supervisor,Confidential -,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Analysis,ERP,CMA,Finance,Financial Management,Financial Analysis,CPA"
7,data analysis,Care Services EG -,"Abbassia, Cairo, Egypt ",Full Time,Entry Level,2 - 4 Yrs of Exp,"IT/Software Development,Analyst/Research,Analysis,Data Analysis,Information Technology (IT),Computer Science"
8,Financial Planning & Analysis Assistant Manager,Network International -Egypt -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,10 - 11 Yrs of Exp,"Accounting/Finance,Banking,Financial Analysis,Accounting,CMA,Banking,Financial Management,Reporting,Planning,Analysis"
9,Senior Financial Planning and Analysis (FP&A) Specialist,ARPUPLUS -,"Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Communication skills,Financial,Financial Analysis,Financial Management,CFA,CMA,Analysis"
